IDtopic	ObsID	Taxon	Country	Mention	Topic	IDportrayal	Portrayal	Sentiment
24341	12321	elephant	Canada	Denmark is spending 11 million kroner ($1.6 million) to buy the country’s last four circus ELEPHANTS to give them a proper retirement as the government moves to ban wild animals in circuses.	Conservation	32341	Victim	-0.557
24340	14065	deer	United States	In Alaska, hunters can legally shoot wolves from aircraft. Aerial wolf killing is not intended to preserve moose and CARIBOU  or enhance biodiversity; rather, it exists to artificially inflate the numbers of game animals available to hunters.	Exploitation	32340	Valuable	-0.751
24339	8514	vulture	United States	This makes vultures a more difficult bunch to protect than photogenic species like elephants and lions, says Ralph Buij, the Peregrine Fund’s Africa Program Director.But as the only terrestrial vertebrates that can support themselves through scavenging, VULTURES are critical to the health of the African ecosystem.	Wildlife info	32339	Important	-0.387
24338	4133	saola	United Kingdom	- Greta Thunberg joins The 1975 on their new album- ENDANGERED: AntarcticaImage Credit: CunningchriswThey are also yet another victim to the vast deforestation caused by human activity. With forests being eradicated to 'make way for agriculture, infrastructure and plantations', the  SAOLA are being squeezed into smaller spaces'.	Habitat Loss	32338	Vulnerable	0.128
24337	16149	wolf	United Kingdom	On a three-day expedition with the European Safari Company, you’ll track wolves by foot with an expert local guide to keep you safe (phew), while sleeping in remote mountain accommodation, star gazing and tucking into some top-tier Italian cuisine to boot. The wild terrain is also home to chamois, deer, Marsican brown bears and golden eagles – so you’ll get up close and personal with nature whether or not the WOLVES make an appearance.	Ecotourism	32337	Dangerous	0.44
24336	10400	deer	Canada	Indigenous peoples of the Arctic have adapted to extreme conditions in other ways as well. Before the intrusion of European cultures, they satisfied their energy requirements, which are approximately one-third higher than those of Europeans, almost exclusively with seal and walrus meat and fat, as well as with elk, caribou, REINDEER  and various birds.	Wildlife info	32336	Important	0.796
24335	1638	deer	Canada	Deer, elk, moose, wolves and cougars do not occupy this environment in winter, while grizzly bears do, they are not a threat when hibernating.This particular CARIBOU subspecies are nivaphiles (snow-lovers) and able to exist where the others, being nivaphobes (snow-haters) cannot.	Wildlife info	32335	Resilient	0.417
24334	18472	deer	United States	For those wondering what all the fuss is about: Last week, the Alaska Department of Fish and Game announced that the quota for this year’s fall Fortymile caribou registration hunt is 5,000 caribou — more than double last year’s fall and winter quota combined. The move is part of a long-term strategy to control the number of CARIBOU in the herd, which has ballooned over the years to over 83,000 animals, leading to nutritionally stressed herd.	Conservation	32334	Nuisance	-0.273
24332	12791	shark	United States	Witnesses said at least 10 seals were seen in the area before the attack.An organization that studies sharks, the Atlantic White SHARK Conservancy, said shark encounters in which people are injured are as terrifying as they are rare.	HWI	32332	Dangerous	-0.751
24330	5039	wolf	United States	That is thanks to decades of protection under the federal Endangered Species Act, which makes it illegal to hunt or harm listed species.But the conservation success story has turned into a nuisance for hunters, farmers and others whose animals are increasingly encountering WOLVES — with deadly consequences.	Conservation	32330	Nuisance	-0.128
24329	12075	wolf	United States	The plan in part addresses wolf attacks on livestock, population monitoring and potential conservation threats. It does not propose any hunting of WOLVES  but maintains the ability to kill wolves that repeatedly prey on livestock.	Conservation	32329	Nuisance	-0.815
24328	10810	tiger	India	Six persons booked for hitting 50-year-old- Saturday | 20th June, 2020Digvijaya Singh, Scindia, Solanki win RS poll- Saturday | 20th June, 2020After all, animals have no borders,” he added.The limelight on this tiger comes at a time when the MP forest department has decided to notify the densely-populated tiger habitat region of Ratapani as a wildlife division. Dr Sandeep Sharma, wildlife scientist at Germany’s Gottingen University, who has done his PhD on TIGERS and their connectivity in central India, is excited by this tiger’s journey.	Wildlife info	32328	Resilient	0.612
24327	14580	shark	United States	A SHARK was about 20 yards off shore at Okaloosa Island with its head out of the water, opening its mouth as it faced a line of people on the beach.	HWI	32327	Dangerous	0
24326	1376	shark	United States	Fishermen say the restrictions will make shark fishing more dangerous because they remove the animals to safely take out the hooks before releasing them.Proponents say the SHARKS would be better off physically if the hook is left in rather than pulled into the air.	Conservation	32326	Controversial	0.403
24324	1869	vulture	United States	A heron’s flight is direct, while storks often soar high above the ground like vultures. In fact, scientists think storks might actually be more closely related to VULTURES	Wildlife info	32324	Interesting	-0.428
24323	13929	pangolin	China	The smuggled pangolin scales were wrapped with layers of ginger slices in bags, which makes them hard to detect during routine spot checks, said Chen Ling, a policeman from Wenzhou Public Security Bureau.The cost of PANGOLIN scales overseas is about 80 to 150 yuan ($11.40 to $21.30) per kilogram, while the selling price in China could reach 800 yuan as the scales are believed to be beneficial for health, Feng said.	Exploitation	32323	Victim	0.361
24322	17350	shark	Canada	Researchers in Ecuador say they have discovered a “nursery” of hammerhead SHARKS off the coast of the Galapagos Islands, a find that may help them track and protect the endangered predators.	Wildlife info	32322	Vulnerable	0.649
24321	8034	deer	Canada	Conservation officers want to find the suffering deer whose wound could be fatal, they also want to find the person who shot it.“The DEER will be bleeding from the side and possibly also from the mouth,” said Myroniuk.	Exploitation	32321	Victim	-0.718
24320	8955	elephant	United States	“Birmingham Zoo created a brotherhood of elephants, and then obliterated it,” Fleur Dawes of In Defense of Animals said in a news release. “We call bull on Birmingham Zoo which treats elephants as commodities to pimp, trade, exploit, and profit off of in every way possible.”Samil Baker, public relations manager for the Birmingham Zoo, said in an emailed statement that the Zoo is accredited by the Association of Zoos and Aquariums, which has “some of the highest standards for animal care and welfare in the world, including programs to promote ELEPHANT conservation in the wild.	Zoo	32320	Victim	0.772
24318	4297	wolf	United States	To that end, DFW officials have begun a broad public outreach effort.In late summer wildlife officials scheduled a series of 14 open public meetings across the state to begin assessing possible changes to the state’s WOLF management policy.	Conservation	32318	Controversial	0.273
24316	2978	wolf	United States	“We see a lot of concern on both sides of this plan,” she said. “For someone like me, who has looked forward to seeing wolves living free on our landscape, it’s time to celebrate.”The state’s first WOLF plan was issued in 2005 before any wolves had come back to the state after decades of extirpation due to hunting and trapping.	Conservation	32316	Controversial	0.7
24315	1001	elephant	India	As the forest departments across the country have been sending blood samples to IVRI following elephant deaths, scientists here have now asked them to send internal organs, including heart, lung and liver, along with water in which the trunk has been washed, to study if the dead jumbo was infected with EEHV.Scientists said Dudhwa National Park, Corbett National Park and Rajaji National Park have a high population of ELEPHANTS	Health	32315	Vulnerable	-0.818
24313	6954	deer	United States	The sale and transportation of potentially infected deer from documented CWD infected farms are not prohibited, such as the case of the recent discovery of another CWD infected deer in Clearfield County.The deer was purchased from a documented infected CWD commercial DEER farm in Fulton County then transported to Clearfield County.	Health	32313	Other Portrayal	-0.915
24312	9074	shark	United States	ISLE OF PALMS, S. C. (WCIV) – Erica Hedrick said she was bit by what she believes to be a baby SHARK while visiting the Isle of Palms on Sept. 15.	HWI	32312	Dangerous	0
24310	6138	shark	United Kingdom	Although Otodus megalodon ruled the waves for almost 13 million years, it finally went the way of the dinosaurs as recently as 2.6 million years ago.A period of Pliocene cooling did for the SHARK as it did for large numbers of turtles and seabirds as the food chain shattered with disastrous consequences for apex predators.	Wildlife info	32310	Victim	-0.791
24309	7730	tiger	United States	Anwarul Islam, chief executive of conservation organization WildTeam, told CNN that the number of tiger attacks and deaths have fallen in the past five years due to increased awareness of wildlife protection among local communities.WildTeam launched a tiger hotline in 2013 and a 24-hour patrol team who intervene if a TIGER roams into a village.	HWI	32309	Dangerous	-0.361
24308	6831	deer	United States	When doing flyovers, Stockton’s pilots fly a Cessna 182s or a Cessna 210s because they need wings on top of the plane, so “we are able look down onto the ground,” he explained.Working with various natural resource agencies, Stockton has flown over forests to record wild animal habitats, count WHITE-TAILED DEER and locate illicit pollution discharges.	Conservation	32308	Neutral	0.511
24306	17784	elephant	United States	Shortly after the attack, the zoo implemented a policy requiring an employee to check locks, doors and the location of animals before a second employee enters a space open to a potentially dangerous animal. That policy was already in place for ELEPHANTS and apes and now applies to all carnivores.	HWI	32306	Dangerous	-0.735
24305	8985	wolf	United States	Perhaps more importantly, however, it is essential to know how elk would have moved in the landscape had they completely ignored predation risk. The team solved this problem by simulating alternative elk movements across the landscape that represented their expectations of how they would behave if they simply didn't care about WOLVES	Wildlife info	32305	Dangerous	-0.68
24304	10611	shark	United Kingdom	Scientists suggest that Megalodon looked like a stockier version of the great white shark and fossil remains reveal it reached lengths of 18 meters (59 ft) with the average size being 10.5 meters (34 ft). However, an even bigger and more terrifying SHARK may have existed, according to a new mini-documentary.	Wildlife info	32304	Exciting	0.46
24303	6388	shark	United States	Researchers say most incidents don’t happen because sharks are preying on humans. Rather, they believe the SHARKS may bite because they’re confused, threatened or just curious.	HWI	32303	Controversial	-0.459
24302	6598	pangolin	Australia	The National Parks Board, Singapore Customs and the Immigration and Checkpoints Authority say the cargo was declared as cassia seeds.Last Wednesday, officials discovered a record 14.2 tonnes of PANGOLIN scales hidden among packets of frozen beef.	Exploitation	32302	Victim	0.077
24300	14471	shark	United States	Sharks come in many shapes and sizes. In fact there are more than 400 SHARK species — ranging in size from a few inches to upwards of 52 feet long — swimming around in our oceans.	Wildlife info	32300	Interesting	0
24299	4264	elephant	India	In 2018, De Beers Group announced that it was commencing a major conservation initiative titled Moving Giants that would see around 200 elephants translocated from its Venetia Limpopo Nature Reserve (VLNR) in South Africa to a national park in Mozambique co-managed by NGO Peace Parks Foundation and the Mozambique government. The aim of the initiative, which would take around three years to complete, is to protect and sustain the natural habitat, and the future survival of the animals and plants it supports, at the VLNR, while helping to facilitate the restoration of the ELEPHANT population in Mozambique.	PAs	32299	Vulnerable	0.906
24298	2352	vulture	United Kingdom	The tragic death of this Griffon Vulture continues to highlight the need to tackle the issue across the whole region as vultures know no borders - something we are addressing with our Balkan Anti-Poisoning Project. VULTURE populations in the Balkans are very depleted and fragmented, when compared with populations in western Europe.	Threats	32298	Vulnerable	-0.941
24297	17997	wolf	United States	But he noted that regular killing of wolves has “resulted in public concern and outrage.”The Center for a Humane Economy, a conservation group, applauded Inslee.“Killing off WOLVES and packs one by one has been the wrong strategy for the state in managing occasional wolf-human conflicts,” said Wayne Pacelle, president of the group, on Tuesday.	Conservation	32297	Controversial	-0.908
24296	11690	pangolin	Vietnam	Pangolin scales that were seized from Customs and were taken by the National Parks Board are pictured in Singapore April 4, 2019. Photo: ReutersSINGAPORE – Singapore has seized 12.9 tonnes of PANGOLIN scales found in a shipping container destined for Vietnam, the biggest seizure of its kind globally in five years, authorities said on Thursday.	Exploitation	32296	Victim	0.527
24295	899	wolf	United States	SEATTLE, WA - A King County Superior Court Commissioner has denied a motion for a temporary injunction that would have prohibited the Washington Department of Fish and Wildlife from executing a plan to lethally remove WOLVES from the Old Profanity Territory pack in Ferry County, in northeast Washington.	Conservation	32295	Controversial	0.153
24294	2220	wolf	United States	The researchers found that while six deceased dogs they dissected uniformly possessed this muscle, four dissected wolves either did not have it or barely did. They also found that 27 shelter dogs in the United Kingdom did the eyebrow-raise far more often and intensely when interacting with strangers than did nine WOLVES at two U.K. wildlife parks.	Wildlife info	32294	Interesting	0.421
24293	14598	wolf	United States	I am writing to hopefully educate others with scientific facts about WOLVES as there is an unfair hatred towards them in this state.	Wildlife info	32293	Controversial	-0.681
24292	11331	pangolin	United Kingdom	Pangolin populations, for instance, have been ravaged by a surge in demand, particularly in mainland China, and are one of the most heavily trafficked mammals in the world.Last month, Hong Kong officials unveiled a record eight tonnes of PANGOLIN scales found in a container from Nigeria, as the timid animal continues to be sought after for its meat and unproven medicinal properties.	Exploitation	32292	Victim	-0.361
24289	5394	shark	Philippines	Photo courtesy of Darrell BlatchleySeveral pieces of plastic were found in the stomach of the whale shark. Photo courtesy of Darrell BlatchleySeveral pieces of plastic were found in the stomach of the whale SHARK	Pollution	32289	Victim	0.612
24287	992	elephant	India	Adults are usually carriers of the disease.Experts said there are seven sub-types of EEHV and of these, four are commonly found among Asian ELEPHANTS	Health	32287	Other Portrayal	0
24286	16102	wolf	United States	The Persecution of Predators, and Why You Should CareThe truth is, predator species like coyotes, WOLVES  bears, etc., have been discriminated against in this country for decades now — a fact that’s nothing new to ecologists, and as a result many predator populations are facing extinction.	Threats	32286	Vulnerable	0.586
24285	9584	shark	United States	Ancient SHARK s ‘scissor jaws’ recreated by researchers unravel major mysteries of 'weird' creatureFor years, a mysterious ancient scissor-toothed shark puzzled scientists with its odd-shaped jaw, causing many to wonder just how the weird creature's chompers worked.	Wildlife info	32285	Interesting	-0.521
24282	10437	tiger	India	The settling down time varies from animal to animal as some take 4-5 days to become normal.The TIGER is fed beef once a day and offered water.	Health	32282	Interesting	0
24281	5839	vulture	South Africa	“And it really is such an honour for us to be able to support organisations like BirdLife SA, and their Vulture Project, through the use of our vehicles. We’d like to take this opportunity to thank Linda and the rest of the team for all that they do to help stem the flow of VULTURE losses, and we wish them well in their ongoing efforts to give conservation wings.”LEGAL DISCLAIMER: This Message Board accepts no liability of legal consequences that arise from the Message Boards (e.g.	Conservation	32281	Vulnerable	0.945
24280	15095	shark	United States	While the relative risk of a shark attack is believed to be very small, there are practical ways for the risk to be minimized such as staying in groups (since sharks are more likely to attack a solitary individual), avoiding being in the water during darkness or twilight hours when sharks are most active or wearing any shiny jewelry as the light reflected from it resembles the sheen of fish scales that could potentially attract sharks, the ISAF advises. See more advice on how to reduce the risks of a SHARK encounter at the Florida Museum ISAF website.	HWI	32280	Dangerous	-0.865
24279	16815	vulture	India	Bhopal, Sehore, Sheopur, Dindori, Jabalpur, Katni, Indore, Gwalior, Morena, Damoh and few other districts have higher number of vultures. In Bhopal, a VULTURE breeding centre has been set up at Kerwa dam to conserve the species of vultures.	Conservation	32279	Vulnerable	-0.793
24278	5295	wolf	United States	IPSWICH, Mass. (WBZ NewsRadio) — Since it was founded in 1990, the mission of Wolf Hollow has been to educate the public about WOLVES	Wildlife info	32278	Important	0
24277	15074	shark	United States	Shark Attacks Tourist on Whale-Watching Trip, Bites Off Her HandsA French tourist has been severely injured in a rare SHARK attack off the coast of Tahiti in French Polynesia.	HWI	32277	Dangerous	-0.893
24276	11222	vulture	United States	A. Complex interactions between dispersal and dynamics: lessons from coupled logistic equations. Ecology 74, 1362–1372 (1993).- 31.Frankham, R. Efective population size/adult population size ratios in wildlife: a review. Genetics Research 66, 95–107 (1995).- 32.Gautschi, B., Müller, J. P., Schmid, B. and Shykoff, J. A. Effective number of breeders and maintenance of genetic diversity in the captive bearded VULTURE population.	Wildlife info	32276	Interesting	0.194
24273	17670	wolf	Canada	Together they’re bringing people the experience of interacting with a wolf while learning about the animal’s role in the environment and how deeply wolves are woven into First Nation culture.Allan, who owns and operates the SWELL WOLF Education Centre, said his interest in wolves started when he was young and was influenced, in part, from reading Farley Mowat’s Never Cry Wolf.	Wildlife info	32273	Important	0.676
24272	18827	vulture	United States	Helping the vulture is another value of green space. VULTURES nest on the ground, not in a tree.	PAs	32272	Interesting	-0.347
24271	13170	shark	United States	Humans are 30 times more likely to be struck by lightning in Florida than to be bitten by a shark, the FWC says.“Experts agree that the increase in the number of shark attacks in recent years is more related to an increase in human visitors than to an increase in SHARK populations or activity,” said the agency.	HWI	32271	Controversial	0.586
24270	4289	wolf	United States	Washington’s population was 6,468,000 (97.2 people per square mile). Our WOLF habitat: 297 square miles in the eastern one-third and “scattered habitat in small isolated areas of the Okanogan, marginal habitat both north and south of Mount Rainier, and a large area of habitat in and around the Olympic National Park,” adding up to something around 4,500 square miles.	Wildlife info	32270	Neutral	-0.318
24269	3613	vulture	India	NEW DELHI: Now it's time for the vultures to be set free. Rajabhatkhowa Vulture Conservation Breeding center will soon release the first set of VULTURES in the wild.	Conservation	32269	Exciting	-0.617
24267	12058	wolf	United States	“The first wolf I saw, I shot him,” Aguilar said. “Having pulled the trigger on an animal you know is federally protected, it’s like, ‘Oh no, here we go.’”Aguilar shot the WOLF — a male juvenile from the Pine Creek pack — two more times to make sure it was dead.	Exploitation	32267	Controversial	0.052
24266	13312	pangolin	United States	They cost up to $350 per kilo in Vietnamese, and are frozen alive to be traded by the ton covered with frozen fish or snakes for cover.A PANGOLIN conservation program and rehab in Vietnam cares for pangolins in an effort to conserve the species.	Conservation	32266	Vulnerable	0.681
24265	8835	shark	United States	A SHARK was about 20 yards off shore at Okaloosa Island with its head out of the water, opening its mouth as it faced a line of people on the beach.	HWI	32265	Dangerous	0
24264	8798	vulture	South Africa	Your final trek which leads you back to the Mnweni Cultural and Hiking Centre takes you along and down the Rockeries Pass to the Thonyelana River.Tip: Be sure to keep an eye out for Cape VULTURES as you make your way through this remote part of the Drakensburg Mountains.	Ecotourism	32264	Dangerous	-0.186
24263	18038	vulture	United States	The Safari Park houses 19 of the 23 species of vultures in the world, notably including the California condor, a New World vulture which the zoo helped rescue from extinction. Visitors can learn more about these birds during VULTURE Awareness Weekend at the Safari Park, Aug. 31 to Sept. 2.	Zoo	32263	Interesting	-0.694
24260	1799	elephant	United States	(Among Asian Elephants, only males can grow tusks, and very few of them actually develop them.)About 50,000 Asian elephants remain in the wild, less than a tenth the estimated number of African ELEPHANTS	Wildlife info	32260	Vulnerable	0.077
24259	2536	pangolin	Malaysia	The announcement came less than two weeks after a coalition of local conservation groups called on Hong Kong to do more to crack down on illegal wildlife smuggling by ending legal loopholes and lenient sentences.In a landmark report analysing seizures and convictions, conservationists said the southern Chinese financial hub played a “disproportionate” role in wildlife crime – accounting for around a fifth of all global ivory seizures and nearly half of all PANGOLINS seized in the last decade.	Exploitation	32259	Victim	-0.71
24258	15000	wolf	Canada	They started to go along the creek toward Notre Dame Secondary School.COYOTE ON DRIVEWAY: I was out for a walk at about 7:30 p.m. April 6 and saw what looked like a coy WOLF (as it was larger than a coyote) on someone's driveway on Cavendish Drive between Ingersoll Drive and Malcolm Crescent in Burlington.	HWI	32258	Interesting	0.361
